state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
LA,Louisiana Balance of State CoC,LA-509,"$20,125,458.00",Largely Suburban CoC,463,394,85%,43,15,63,26,10,4,5,6,40%,50%,60%,74,10,21,32,14%,28%,43%,13,2,2,4,15%,15%,31%,0,0,0,0,NA,NA,NA,38,2,6,14,5%,16%,37%,135,18,34,56,13%,25%,41%,1673,228,32,14%,71,31%,82,36%,73,6,8%,11,15%,16,22%,1296,1740,43,17,16,77%,1980,980,49%,354,344,97%,1421,85,6%,379,47,12%,100,4,4%,947,15,2%,20,2,10%
MA,Boston CoC,MA-500,"$31,723,357.00",Major City CoC,6012,5946,99%,260,122,276,134,12,2,4,5,17%,33%,42%,1591,73,108,189,5%,7%,12%,148,12,19,35,8%,13%,24%,9,1,1,2,11%,11%,22%,604,46,71,105,8%,12%,17%,2364,134,203,336,6%,9%,14%,14463,1448,168,12%,634,44%,743,51%,788,63,8%,118,15%,173,22%,6345,6607,1345,53,116,13%,8319,2435,29%,2444,2386,98%,9478,4805,51%,595,12,2%,504,5,1%,813,30,4%,1678,384,23%
MA,Lynn CoC,MA-502,"$2,297,466.00",Largely Suburban CoC,981,957,98%,1302,1600,1242,1002,0,0,0,0,NA,NA,NA,89,8,10,22,9%,11%,25%,4,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,167,15,19,37,9%,11%,22%,260,23,29,59,9%,11%,23%,564,128,32,25%,8,6%,36,28%,16,4,25%,14,88%,14,88%,263,628,0,0,0,NA,326,145,44%,226,226,100%,728,54,7%,16,0,0%,24,12,50%,0,0,NA,3,1,33%
MA,Cape Cod Islands CoC,MA-503,"$1,938,900.00",Largely Suburban CoC,294,294,100%,139,77,162,89,42,6,9,10,14%,21%,24%,246,17,24,35,7%,10%,14%,14,0,1,1,0%,7%,7%,0,0,0,0,NA,NA,NA,31,4,5,5,13%,16%,16%,333,27,39,51,8%,12%,15%,751,7,0,0%,2,29%,2,29%,2,0,0%,1,50%,1,50%,398,423,112,23,35,52%,554,180,32%,228,207,91%,646,135,21%,46,10,22%,105,17,16%,1,0,0%,121,20,17%
MA,Springfield/Hampden County CoC,MA-504,"$4,229,898.00",Largely Suburban CoC,2344,2279,97%,268,169,269,171,53,1,2,2,2%,4%,4%,1344,23,35,126,2%,3%,9%,21,3,3,4,14%,14%,19%,0,0,0,0,NA,NA,NA,346,7,12,21,2%,3%,6%,1764,34,52,153,2%,3%,9%,5464,110,29,26%,37,34%,65,59%,40,10,25%,8,20%,17,43%,2858,3287,86,19,36,64%,3529,1732,49%,718,678,94%,3257,1153,35%,9,1,11%,90,59,66%,420,20,5%,87,22,25%
MA,New Bedford CoC,MA-505,"$1,793,295.00",Largely Suburban CoC,369,320,87%,117,74,132,78,0,0,0,0,NA,NA,NA,360,18,31,38,5%,9%,11%,36,1,2,3,3%,6%,8%,0,0,0,0,NA,NA,NA,136,4,6,6,3%,4%,4%,532,23,39,47,4%,7%,9%,876,111,25,23%,25,23%,41,37%,96,11,11%,36,38%,46,48%,531,567,2,0,2,100%,616,246,40%,281,271,96%,495,4,1%,140,8,6%,47,0,0%,42,3,7%,0,0,NA
MA,Worcester City & County CoC,MA-506,"$6,792,560.00",Largely Suburban CoC,1391,1356,97%,150,53,197,86,15,3,4,4,20%,27%,27%,682,38,66,102,6%,10%,15%,316,29,36,51,9%,11%,16%,1,1,1,1,100%,100%,100%,562,30,44,61,5%,8%,11%,1576,101,151,219,6%,10%,14%,3800,392,17,4%,177,45%,191,49%,159,15,9%,37,23%,50,31%,1988,2236,77,15,24,51%,3038,976,32%,801,777,97%,2358,945,40%,414,34,8%,118,5,4%,684,10,1%,81,37,46%
MA,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",MA-507,"$1,808,722.00",Largely Suburban CoC,488,488,100%,104,53,138,77,0,0,0,0,NA,NA,NA,285,14,29,44,5%,10%,15%,54,2,2,7,4%,4%,13%,0,0,0,0,NA,NA,NA,70,1,2,2,1%,3%,3%,409,17,33,53,4%,8%,13%,1587,51,6,12%,30,59%,35,69%,51,5,10%,8,16%,13,25%,983,1013,25,3,7,40%,1177,364,31%,248,232,94%,1056,86,8%,283,18,6%,67,1,1%,36,0,0%,25,10,40%
MA,Cambridge CoC,MA-509,"$4,994,743.00",Other Largely Urban CoC,347,322,93%,78,15,138,20,18,2,2,6,11%,11%,33%,71,8,9,13,11%,13%,18%,33,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,53,1,1,3,2%,2%,6%,175,11,12,22,6%,7%,13%,1730,188,12,6%,57,30%,66,35%,12,2,17%,4,33%,6,50%,940,978,143,43,41,59%,1315,151,11%,335,329,98%,1343,799,59%,55,0,0%,45,0,0%,58,0,0%,141,22,16%
MA,"Gloucester, Haverhill, Salem/Essex County CoC",MA-510,"$1,826,756.00",Largely Suburban CoC,0,0,NA,150,80,150,82,0,0,0,0,NA,NA,NA,264,4,6,13,2%,2%,5%,30,0,1,1,0%,3%,3%,4,0,0,0,0%,0%,0%,60,1,2,2,2%,3%,3%,358,5,9,16,1%,3%,4%,905,55,6,11%,24,44%,27,49%,15,2,13%,1,7%,3,20%,583,610,0,0,0,NA,654,233,36%,200,197,99%,534,32,6%,26,0,0%,10,0,0%,10,0,0%,0,0,NA
MA,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",MA-511,"$6,878,921.00",Largely Suburban CoC,955,955,100%,183,80,183,80,45,4,6,12,9%,13%,27%,260,52,74,102,20%,28%,39%,0,0,0,0,NA,NA,NA,15,0,0,0,0%,0%,0%,96,0,2,4,0%,2%,4%,416,56,82,118,13%,20%,28%,3086,461,37,8%,226,49%,252,55%,75,7,9%,35,47%,42,56%,1625,1716,133,56,45,76%,2828,1069,38%,799,784,98%,2334,675,29%,0,0,NA,15,0,0%,768,231,30%,133,32,24%
MA,Fall River CoC,MA-515,"$1,832,924.00",Largely Suburban CoC,268,244,91%,152,86,152,86,0,0,0,0,NA,NA,NA,393,4,12,30,1%,3%,8%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,62,3,4,4,5%,6%,6%,455,7,16,34,2%,4%,7%,781,84,8,10%,42,50%,47,56%,34,4,12%,19,56%,20,59%,470,507,0,0,0,NA,561,265,47%,117,113,97%,549,47,9%,0,0,NA,48,0,0%,26,1,4%,0,0,NA
MA,Massachusetts Balance of State CoC,MA-516,"$13,438,107.00",Largely Suburban CoC,2872,2574,90%,332,237,334,241,7,0,0,0,0%,0%,0%,1473,11,27,53,1%,2%,4%,52,1,1,3,2%,2%,6%,0,0,0,0,NA,NA,NA,87,2,2,3,2%,2%,3%,1619,14,30,59,1%,2%,4%,5713,418,50,12%,198,47%,224,54%,148,28,19%,40,27%,63,43%,2375,2630,59,5,4,15%,3272,1415,43%,796,748,94%,3303,373,11%,27,1,4%,168,8,5%,248,0,0%,61,43,70%
MA,"Attleboro, Taunton/Bristol County CoC",MA-519,"$843,063.00",Largely Suburban CoC,289,251,87%,277,235,274,234,0,0,0,0,NA,NA,NA,164,5,5,5,3%,3%,3%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,4,0,0,0,0%,0%,0%,168,5,5,5,3%,3%,3%,283,54,4,7%,30,56%,32,59%,10,1,10%,9,90%,9,90%,147,152,3,0,0,0%,108,80,74%,68,68,100%,204,9,4%,11,0,0%,11,0,0%,0,0,NA,0,0,NA
MD,Cumberland/Allegany County CoC,MD-500,"$625,121.00",Largely Suburban CoC,96,74,77%,0,0,240,155,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,48,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,73,0,0,2,0%,0%,3%,121,0,0,2,0%,0%,2%,70,36,4,11%,7,19%,11,31%,48,4,8%,12,25%,16,33%,35,71,0,0,0,NA,80,68,85%,29,27,93%,0,0,NA,43,0,0%,35,0,0%,33,0,0%,0,0,NA
MD,Baltimore CoC,MD-501,"$22,639,730.00",Major City CoC,2071,1458,70%,109,36,139,54,246,17,28,33,7%,11%,13%,811,74,96,140,9%,12%,17%,507,37,53,70,7%,10%,14%,3,0,0,0,0%,0%,0%,900,33,63,110,4%,7%,12%,2467,161,240,353,7%,10%,14%,5261,1233,76,6%,430,35%,485,39%,459,82,18%,125,27%,189,41%,3434,4001,1662,185,257,27%,4531,1243,27%,2496,2424,97%,3700,2116,57%,473,64,14%,288,59,20%,1083,34,3%,1083,407,38%
MD,Harford County CoC,MD-502,"$914,622.00",Largely Suburban CoC,141,141,100%,42,7,179,173,4,0,0,0,0%,0%,0%,40,1,4,4,3%,10%,10%,37,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,40,0,0,0,0%,0%,0%,121,1,4,4,1%,3%,3%,266,61,8,13%,11,18%,17,28%,17,0,0%,6,35%,6,35%,159,257,128,47,37,66%,,128,NA,121,116,96%,279,42,15%,118,7,6%,27,0,0%,132,10,8%,69,1,1%
MD,Annapolis/Anne Arundel County CoC,MD-503,"$2,385,199.00",Largely Suburban CoC,144,144,100%,89,70,100,75,26,3,4,4,12%,15%,15%,293,37,50,64,13%,17%,22%,35,3,4,4,9%,11%,11%,0,0,0,0,NA,NA,NA,147,0,3,6,0%,2%,4%,501,43,61,78,9%,12%,16%,812,134,9,7%,48,36%,53,40%,73,13,18%,17,23%,27,37%,554,695,74,12,44,76%,721,377,52%,341,330,97%,672,164,24%,13,0,0%,82,0,0%,223,7,3%,87,7,8%
MD,Howard County CoC,MD-504,"$984,426.00",Largely Suburban CoC,66,66,100%,103,77,145,94,5,0,0,0,0%,0%,0%,126,8,13,15,6%,10%,12%,15,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,31,0,0,0,0%,0%,0%,177,8,13,15,5%,7%,8%,332,50,3,6%,18,36%,18,36%,5,2,40%,3,60%,4,80%,209,275,24,4,12,67%,284,184,65%,133,125,94%,271,21,8%,31,0,0%,15,1,7%,45,0,0%,27,3,11%
MD,Baltimore County CoC,MD-505,"$2,853,973.00",Largely Suburban CoC,543,543,100%,84,64,97,68,35,3,5,8,9%,14%,23%,935,151,200,265,16%,21%,28%,23,2,2,2,9%,9%,9%,0,0,0,0,NA,NA,NA,221,6,17,29,3%,8%,13%,1214,162,224,304,13%,18%,25%,2174,123,3,2%,17,14%,17,14%,51,4,8%,4,8%,8,16%,1512,1681,367,46,70,32%,1665,1412,85%,252,251,100%,3,37,1233%,79,6,8%,26,0,0%,491,11,2%,361,0,0%
MD,Carroll County CoC,MD-506,"$408,642.00",Largely Suburban CoC,87,76,87%,172,113,172,113,19,3,5,7,16%,26%,37%,103,11,20,24,11%,19%,23%,19,0,0,0,0%,0%,0%,18,0,1,1,0%,6%,6%,19,0,0,0,0%,0%,0%,178,14,26,32,8%,15%,18%,313,24,1,4%,8,33%,9,38%,41,3,7%,13,32%,15,37%,154,176,76,17,12,38%,218,117,54%,34,34,100%,242,42,17%,0,0,NA,8,0,0%,29,0,0%,82,45,55%
MD,Cecil County CoC,MD-507,"$228,213.00",Largely Suburban CoC,99,99,100%,0,0,143,98,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,67,0,2,2,0%,3%,3%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,67,0,2,2,0%,3%,3%,279,23,0,0%,1,4%,1,4%,0,0,NA,0,NA,0,NA,194,196,0,0,0,NA,197,134,68%,23,23,100%,0,0,NA,190,8,4%,0,0,NA,40,2,5%,0,0,NA
MD,"Charles, Calvert, St.Mary's Counties CoC",MD-508,"$2,852,219.00",Largely Suburban CoC,129,129,100%,82,60,95,65,28,3,5,6,11%,18%,21%,72,1,3,6,1%,4%,8%,12,0,0,5,0%,0%,42%,0,0,0,0,NA,NA,NA,372,5,16,37,1%,4%,10%,484,9,24,54,2%,5%,11%,633,168,14,8%,62,37%,65,39%,143,12,8%,14,10%,23,16%,501,711,64,11,38,77%,767,428,56%,311,304,98%,625,48,8%,31,1,3%,51,1,2%,317,7,2%,21,1,5%
MD,Frederick City & County CoC,MD-509,"$617,594.00",Largely Suburban CoC,223,223,100%,315,291,315,291,0,0,0,0,NA,NA,NA,41,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,10,0,0,0,0%,0%,0%,51,0,0,0,0%,0%,0%,457,2,0,0%,1,50%,1,50%,2,0,0%,1,50%,1,50%,410,410,0,0,0,NA,59,41,69%,4,3,75%,367,51,14%,82,4,5%,4,0,0%,134,0,0%,528,54,10%
MD,Garrett County CoC,MD-510,"$229,819.00",Largely Rural CoC,10,10,100%,59,48,59,48,0,0,0,0,NA,NA,NA,67,5,8,12,7%,12%,18%,33,1,4,4,3%,12%,12%,0,0,0,0,NA,NA,NA,56,4,8,12,7%,14%,21%,156,10,20,28,6%,13%,18%,34,59,0,0%,7,12%,7,12%,83,1,1%,1,1%,2,2%,32,161,0,0,0,NA,146,125,86%,8,2,25%,27,0,0%,0,0,NA,8,4,50%,119,13,11%,0,0,NA
MD,Mid-Shore Regional CoC,MD-511,"$757,156.00",Largely Rural CoC,90,90,100%,53,27,73,29,14,1,1,1,7%,7%,7%,112,9,21,32,8%,19%,29%,2,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,72,1,9,29,1%,13%,40%,200,11,31,62,6%,16%,31%,598,69,5,7%,19,28%,22,32%,2,1,50%,0,0%,1,50%,420,515,49,6,26,65%,549,288,52%,89,89,100%,495,123,25%,22,2,9%,5,0,0%,224,8,4%,17,10,59%
MD,Hagerstown/Washington County CoC,MD-512,"$519,913.00",Largely Suburban CoC,181,140,77%,52,42,93,48,0,0,0,0,NA,NA,NA,93,4,4,6,4%,4%,6%,25,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,49,1,1,1,2%,2%,2%,167,5,5,7,3%,3%,4%,253,45,4,9%,29,64%,31,69%,25,2,8%,8,32%,10,40%,205,274,0,0,0,NA,249,160,64%,99,93,94%,164,29,18%,33,0,0%,33,0,0%,98,0,0%,284,212,75%
MD,"Wicomico, Somerset, Worcester Counties CoC",MD-513,"$1,413,559.00",Largely Rural CoC,228,228,100%,74,45,86,48,5,0,2,2,0%,40%,40%,214,51,72,85,24%,34%,40%,12,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,179,9,20,24,5%,11%,13%,410,60,94,111,15%,23%,27%,1110,120,7,6%,70,58%,72,60%,19,2,11%,9,47%,11,58%,692,755,129,30,45,58%,921,252,27%,232,228,98%,687,0,0%,34,0,0%,27,0,0%,372,0,0%,89,1,1%
MD,Prince George's County CoC,MD-600,"$6,079,178.00",Largely Suburban CoC,374,374,100%,71,53,130,64,29,0,0,2,0%,0%,7%,437,16,20,48,4%,5%,11%,67,0,4,7,0%,6%,10%,0,0,0,0,NA,NA,NA,81,7,8,20,9%,10%,25%,614,23,32,77,4%,5%,13%,1381,184,16,9%,66,36%,72,39%,174,34,20%,24,14%,52,30%,949,1020,22,9,12,95%,1092,618,57%,439,429,98%,1009,0,0%,115,0,0%,37,0,0%,222,0,0%,23,1,4%
MD,Montgomery County CoC,MD-601,"$8,930,720.00",Largely Suburban CoC,339,339,100%,85,48,97,53,20,3,4,6,15%,20%,30%,602,35,58,106,6%,10%,18%,130,5,14,17,4%,11%,13%,32,1,3,4,3%,9%,13%,212,10,19,23,5%,9%,11%,996,54,98,156,5%,10%,16%,2138,380,23,6%,130,34%,140,37%,130,22,17%,38,29%,54,42%,1362,1452,84,30,12,50%,1672,580,35%,1436,1420,99%,1862,209,11%,97,9,9%,219,6,3%,250,17,7%,340,71,21%
ME,Maine Statewide CoC,ME-500,"$13,792,998.00",Largely Rural CoC,1952,1773,91%,69,41,192,58,120,14,20,25,12%,17%,21%,1806,161,231,328,9%,13%,18%,272,19,27,38,7%,10%,14%,4,0,0,0,0%,0%,0%,493,25,51,74,5%,10%,15%,2695,219,329,465,8%,12%,17%,6577,1196,134,11%,523,44%,597,50%,341,41,12%,124,36%,156,46%,3681,3912,313,79,133,68%,4771,1985,42%,2636,2543,96%,4712,208,4%,504,13,3%,681,46,7%,400,49,12%,198,21,11%
MI,Michigan Balance of State CoC,MI-500,"$9,303,379.00",Largely Rural CoC,808,578,72%,28,12,35,13,137,19,23,34,14%,17%,25%,1602,203,305,411,13%,19%,26%,63,5,10,12,8%,16%,19%,0,0,0,0,NA,NA,NA,2020,83,122,161,4%,6%,8%,3822,310,460,618,8%,12%,16%,5457,150,14,9%,15,10%,15,10%,610,67,11%,62,10%,124,20%,4076,6015,144,18,119,95%,6088,3523,58%,389,351,90%,5061,346,7%,31,0,0%,304,25,8%,2613,77,3%,11,0,0%
MI,Detroit CoC,MI-501,"$27,280,221.00",Major City CoC,1523,1523,100%,71,49,105,68,299,28,48,67,9%,16%,22%,2030,341,425,506,17%,21%,25%,472,30,41,61,6%,9%,13%,28,3,4,7,11%,14%,25%,1261,67,110,179,5%,9%,14%,4090,469,628,820,11%,15%,20%,7378,1412,89,6%,399,28%,444,31%,695,104,15%,187,27%,260,37%,4806,5400,2307,370,205,25%,6261,2928,47%,2589,2570,99%,5471,50,1%,887,49,6%,443,0,0%,1081,9,1%,2530,50,2%
MI,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",MI-502,"$5,281,409.00",Largely Suburban CoC,116,115,99%,67,64,78,68,0,0,0,0,NA,NA,NA,218,18,22,32,8%,10%,15%,34,1,1,1,3%,3%,3%,1,0,0,0,0%,0%,0%,172,2,2,3,1%,1%,2%,425,21,25,36,5%,6%,8%,618,172,12,7%,41,24%,44,26%,132,10,8%,11,8%,19,14%,499,652,9,4,5,100%,671,445,66%,334,323,97%,488,0,0%,45,0,0%,104,1,1%,267,5,2%,13,0,0%
MI,"St. Clair Shores, Warren/Macomb County CoC",MI-503,"$1,696,753.00",Largely Suburban CoC,166,156,94%,50,36,59,40,41,3,5,6,7%,12%,15%,137,15,24,31,11%,18%,23%,9,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,105,1,3,7,1%,3%,7%,292,19,32,44,7%,11%,15%,976,63,8,13%,36,57%,40,63%,82,4,5%,11,13%,14,17%,737,901,36,1,31,89%,1002,463,46%,105,101,96%,832,0,0%,17,0,0%,37,3,8%,237,5,2%,52,0,0%
MI,"Pontiac, Royal Oak/Oakland County CoC",MI-504,"$6,295,287.00",Largely Suburban CoC,237,237,100%,50,37,92,51,339,37,50,73,11%,15%,22%,495,62,87,121,13%,18%,24%,85,2,2,3,2%,2%,4%,0,0,0,0,NA,NA,NA,295,3,5,9,1%,2%,3%,1214,104,144,206,9%,12%,17%,1233,395,33,8%,123,31%,146,37%,445,33,7%,51,11%,78,18%,915,1717,131,43,63,81%,1441,804,56%,641,635,99%,937,92,10%,110,7,6%,160,3,2%,883,1,0%,117,5,4%
MI,Flint/Genesee County CoC,MI-505,"$2,168,179.00",Largely Suburban CoC,340,340,100%,46,24,52,27,13,2,3,4,15%,23%,31%,505,57,77,122,11%,15%,24%,21,2,5,6,10%,24%,29%,0,0,0,0,NA,NA,NA,217,14,17,35,6%,8%,16%,756,75,102,167,10%,13%,22%,1672,87,4,5%,21,24%,24,28%,54,4,7%,9,17%,12,22%,1100,1165,152,3,4,5%,1551,1095,71%,191,179,94%,1465,0,0%,50,3,6%,97,5,5%,95,0,0%,113,0,0%
MI,"Grand Rapids, Wyoming/Kent County CoC",MI-506,"$6,868,810.00",Other Largely Urban CoC,689,629,91%,69,49,77,53,36,11,12,14,31%,33%,39%,374,29,38,72,8%,10%,19%,82,10,15,23,12%,18%,28%,0,0,0,0,NA,NA,NA,508,11,41,82,2%,8%,16%,1000,61,106,191,6%,11%,19%,4973,480,29,6%,196,41%,211,44%,269,43,16%,85,32%,119,44%,3423,3713,108,24,29,49%,4255,1321,31%,882,853,97%,4102,2250,55%,163,2,1%,205,7,3%,655,0,0%,109,4,4%
MI,"Portage, Kalamazoo City & County CoC",MI-507,"$1,566,257.00",Other Largely Urban CoC,604,604,100%,111,66,143,74,78,15,17,25,19%,22%,32%,481,68,101,140,14%,21%,29%,23,6,6,6,26%,26%,26%,0,0,0,0,NA,NA,NA,267,18,33,44,7%,12%,16%,849,107,157,215,13%,18%,25%,1256,99,7,7%,54,55%,53,54%,89,17,19%,34,38%,46,52%,793,916,39,13,20,85%,693,294,42%,221,215,97%,1688,1036,61%,20,3,15%,598,15,3%,124,2,2%,103,0,0%
MI,"Lansing, East Lansing/Ingham County CoC",MI-508,"$2,848,116.00",Other Largely Urban CoC,514,514,100%,55,31,67,34,68,2,8,11,3%,12%,16%,648,39,90,154,6%,14%,24%,87,7,18,29,8%,21%,33%,0,0,0,0,NA,NA,NA,345,12,23,54,3%,7%,16%,1148,60,139,248,5%,12%,22%,2616,190,23,12%,71,37%,85,45%,164,21,13%,35,21%,52,32%,1682,1814,334,91,104,58%,2311,1028,44%,373,353,95%,2192,505,23%,99,6,6%,99,6,6%,474,22,5%,365,21,6%
MI,Washtenaw County CoC,MI-509,"$6,225,899.00",Largely Suburban CoC,178,178,100%,64,45,76,59,49,7,10,16,14%,20%,33%,171,6,10,27,4%,6%,16%,29,0,1,5,0%,3%,17%,0,0,0,0,NA,NA,NA,521,31,57,95,6%,11%,18%,770,44,78,143,6%,10%,19%,1119,313,22,7%,66,21%,79,25%,128,15,12%,29,23%,38,30%,826,983,304,7,89,32%,1077,566,53%,462,451,98%,843,180,21%,75,0,0%,113,4,4%,190,0,0%,160,2,1%
MI,Saginaw City & County CoC,MI-510,"$2,148,310.00",Largely Suburban CoC,259,259,100%,58,30,78,32,2,1,1,2,50%,50%,100%,656,110,160,206,17%,24%,31%,54,4,6,8,7%,11%,15%,6,2,3,3,33%,50%,50%,167,27,35,39,16%,21%,23%,885,144,205,258,16%,23%,29%,1519,108,15,14%,35,32%,42,39%,105,6,6%,9,9%,13,12%,990,1124,0,0,0,NA,1322,706,53%,256,245,96%,1240,11,1%,42,1,2%,39,0,0%,80,0,0%,0,0,NA
MI,Lenawee County CoC,MI-511,"$110,262.00",Largely Rural CoC,108,92,85%,38,7,53,8,0,0,0,0,NA,NA,NA,22,0,0,0,0%,0%,0%,5,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,76,0,2,7,0%,3%,9%,103,0,2,7,0%,2%,7%,314,7,1,14%,5,71%,6,86%,24,2,8%,0,0%,2,8%,396,570,0,0,0,NA,603,122,20%,7,7,100%,239,0,0%,10,0,0%,1,0,0%,179,0,0%,0,0,NA
MI,"Grand Traverse, Antrim, Leelanau Counties CoC",MI-512,"$1,329,117.00",Largely Rural CoC,110,110,100%,98,74,112,76,75,11,20,27,15%,27%,36%,142,25,39,41,18%,27%,29%,3,1,1,1,33%,33%,33%,0,0,0,0,NA,NA,NA,86,1,4,5,1%,5%,6%,306,38,64,74,12%,21%,24%,486,45,7,16%,13,29%,14,31%,9,0,0%,5,56%,5,56%,307,361,145,12,89,70%,358,147,41%,159,152,96%,228,0,0%,5,0,0%,38,0,0%,33,0,0%,157,0,0%
MI,"Marquette, Alger Counties CoC",MI-513,"$125,725.00",Largely Rural CoC,0,0,NA,31,14,80,14,0,0,0,0,NA,NA,NA,123,11,17,35,9%,14%,28%,4,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,82,1,9,13,1%,11%,16%,209,12,26,48,6%,12%,23%,198,11,2,18%,4,36%,6,55%,2,0,0%,0,0%,0,0%,149,178,0,0,0,NA,209,129,62%,22,22,100%,185,37,20%,4,0,0%,3,0,0%,69,0,0%,0,0,NA
MI,Battle Creek/Calhoun County CoC,MI-514,"$240,887.00",Other Largely Urban CoC,148,148,100%,42,30,72,34,12,2,2,4,17%,17%,33%,260,78,98,100,30%,38%,38%,31,1,4,6,3%,13%,19%,8,1,1,1,13%,13%,13%,109,5,12,18,5%,11%,17%,420,87,117,129,21%,28%,31%,977,7,0,0%,0,0%,0,0%,56,17,30%,3,5%,19,34%,660,736,4,3,1,100%,925,392,42%,8,8,100%,837,2,0%,70,11,16%,2,0,0%,187,2,1%,0,0,NA
MI,Monroe City & County CoC,MI-515,"$137,413.00",Largely Suburban CoC,222,186,84%,51,38,109,48,0,0,0,0,NA,NA,NA,172,14,27,37,8%,16%,22%,98,8,9,12,8%,9%,12%,0,0,0,0,NA,NA,NA,29,1,2,4,3%,7%,14%,299,23,38,53,8%,13%,18%,922,4,1,25%,2,50%,2,50%,53,22,42%,6,11%,27,51%,630,631,0,0,0,NA,823,443,54%,14,14,100%,827,0,0%,137,0,0%,24,0,0%,53,0,0%,0,0,NA
MI,"Norton Shores, Muskegon City & County CoC",MI-516,"$617,175.00",Largely Suburban CoC,128,128,100%,35,18,35,18,36,4,6,10,11%,17%,28%,520,136,180,228,26%,35%,44%,24,0,0,3,0%,0%,13%,0,0,0,0,NA,NA,NA,172,6,12,19,3%,7%,11%,752,146,198,260,19%,26%,35%,1098,40,2,5%,3,8%,5,13%,11,1,9%,1,9%,2,18%,788,901,25,0,9,36%,1065,489,46%,112,107,96%,1026,163,16%,0,0,NA,29,0,0%,124,0,0%,11,0,0%
MI,Jackson City & County CoC,MI-517,"$870,459.00",Largely Rural CoC,85,78,92%,45,34,46,34,7,0,0,0,0%,0%,0%,203,16,31,48,8%,15%,24%,70,0,3,10,0%,4%,14%,0,0,0,0,NA,NA,NA,108,0,0,12,0%,0%,11%,388,16,34,70,4%,9%,18%,691,44,2,5%,6,14%,7,16%,20,0,0%,2,10%,2,10%,520,581,9,0,3,33%,695,298,43%,60,60,100%,626,143,23%,0,0,NA,19,2,11%,127,1,1%,7,0,0%
MI,Livingston County CoC,MI-518,"$230,486.00",Largely Suburban CoC,40,40,100%,13,9,19,10,14,2,3,4,14%,21%,29%,50,13,15,18,26%,30%,36%,3,1,1,1,33%,33%,33%,0,0,0,0,NA,NA,NA,37,3,7,8,8%,19%,22%,104,19,26,31,18%,25%,30%,442,10,3,30%,6,60%,8,80%,13,0,0%,0,0%,0,0%,378,403,57,8,42,88%,446,81,18%,14,14,100%,426,14,3%,10,0,0%,6,0,0%,43,0,0%,0,0,NA
